nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT04297280,TACE Combined With Anti-PD-1 Antibody in Patients With Advanced Hepatocellular Carcinoma,"

* Written informed consent obtained.
* Age ≥ 18 years at time of study entry.
* BCLC stage C, and stage B who are not amenable to curative or locoregional therapies or have progressed thereafter.
* Histologically confirmed diagnosis of hepatocellular carcinoma.
* At least one measurable site of disease as defined by modified RECIST (mRECIST) criteria with spiral CT scan or MRI.
* Child-Pugh scores 5-7, performance status (PS) ≤ 2 (ECOG scale).
* Subjects with chronic HBV infection must have HBV DNA viral load \< 100 IU/mL at screening. In addition, they must be on antiviral therapy per regional standard of care guidelines prior to initiation of study therapy.
* Life expectancy of at least 12 weeks.
* Adequate blood count, liver-enzymes, and renal function: absolute neutrophil count ≥ 1,500/L, platelets ≥60 x103/L; Total bilirubin ≤ 3x upper normal limit; Aspartate Aminotransferase (SGOT), Alanine aminotransferase (SGPT) ≤ 5 x upper normal limit (ULN); International normalized ratio (INR) ≤1.25; Albumin ≥ 31 g/dL; Serum Creatinine ≤ 1.5 x institutional ULN or creatinine clearance (CrCl) ≥ 30 mL/min (if using the Cockcroft-Gault formula )
* Female patients with reproductive potential must have a negative urine or serum pregnancy test within 7 days prior to start of trial.
* Subject is willing and able to comply with the protocol for the duration of the study including undergoing treatment, adherence to contraceptive measures, scheduled visits and examinations including follow up.

","[""Have you provided written informed consent for participation in the study?"", ""What is your age at the time of study entry?"", ""Is your BCLC stage C, or stage B and not amenable to curative or locoregional therapies, or have you progressed after such therapies?"", ""Is your diagnosis of hepatocellular carcinoma histologically confirmed?"", ""Do you have at least one measurable site of disease according to the mRECIST criteria on spiral CT scan or MRI?"", ""What is your Child-Pugh score and ECOG performance status?"", ""If you have chronic HBV infection, is your HBV DNA viral load less than 100 IU/mL at screening?"", ""Do you have a life expectancy of at least 12 weeks?"", ""Are your blood count, liver enzymes, and renal function within the adequate range as specified in the study criteria?"", ""If you are a female patient with reproductive potential, have you had a negative pregnancy test within 7 days before the start of the trial?"", ""Are you willing and able to comply with the protocol for the duration of the study, including treatment, contraceptive measures, scheduled visits, and examinations?""]"
NCT06156891,PD-1 Inhibitor Based Induction Chemotherapy Followed by De-escalation Protocols in OPSCC,"

Histological diagnosis of squamous cell carcinoma of oropharynx; IHC p16 positive or PCR HPV16 positive; IHC p16 negative or PCR HPV16 negative; T3-4N0-3M0 or T1-2N2-3M0 according to UICC/AJCC 8th staging system; Age ≥18; No prior anti-tumor treatment; Informed consent obtained; Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1; Normal complete blood count; Normal hepatic function; Normal renal function (creatinine ≤ 1.5 times the upper limit of normal). -

","[""Have you been histologically diagnosed with squamous cell carcinoma of the oropharynx?"", ""Is your IHC p16 status positive or negative?"", ""Is your PCR HPV16 status positive or negative?"", ""According to the UICC/AJCC 8th staging system, what is your tumor stage (e.g., T3-4N0-3M0 or T1-2N2-3M0)?"", ""Are you 18 years of age or older?"", ""Have you received any prior anti-tumor treatment?"", ""Has informed consent been obtained?"", ""What is your Eastern Cooperative Oncology Group (ECOG) performance status (0 or 1)?"", ""Is your complete blood count normal?"", ""Do you have normal hepatic function?"", ""Is your renal function normal (creatinine \u2264 1.5 times the upper limit of normal)?""]"
NCT05675462,Oncolytic Virotherapy Plus PD-1 Inhibitor and Lenvatinib as Second-line or Later Therapy in Patients With Advanced Hepatocellular Carcinoma,"

1. Written informed consent obtained.
2. Age ≥ 18 years at time of study entry.
3. Participants must have unresectable or metastatic histologically or cytologically confirmed hepatocellular carcinoma.
4. Participants must have failed 1 line of systemic regimens for advanced hepatocellular carcinoma due to disease progression or toxicity.
5. Patients had been refractory or intolerant to previous systemic chemotherapy (oxaliplatin-based chemotherapy), targeted therapy (eg, sorafenib or lenvatinib), or anti-PD-1 or anti-PD-L1 based regimen.
6. At least one measurable site of disease as defined by RECIST criteria with spiral CT scan or MRI.
7. Performance status (PS) ≤ 2 (ECOG scale).
8. Life expectancy of at least 12 weeks.
9. Adequate blood count, liver-enzymes, and renal function: absolute neutrophil count ≥ 1,500/L, platelets ≥75 x103/L; Total bilirubin ≤ 3x upper normal limit; Aspartate Aminotransferase (SGOT), Alanine aminotransferase (SGPT) ≤ 5 x upper normal limit (ULN); International normalized ratio (INR) ≤1.25; Albumin ≥ 31 g/dL; Serum Creatinine ≤ 1.5 x institutional ULN or creatinine clearance (CrCl) ≥ 30 mL/min (if using the Cockcroft-Gault formula )
10. Female patients with reproductive potential must have a negative urine or serum pregnancy test within 7 days prior to start of trial.
11. Subject is willing and able to comply with the protocol for the duration of the study including undergoing treatment, adherence to contraceptive measures, scheduled visits and examinations including follow up.

","[""Have you provided written informed consent for this study?"", ""What is your age?"", ""Do you have unresectable or metastatic hepatocellular carcinoma confirmed histologically or cytologically?"", ""Have you failed one line of systemic regimens for advanced hepatocellular carcinoma due to disease progression or toxicity?"", ""Have you been refractory or intolerant to previous systemic chemotherapy (e.g., oxaliplatin-based), targeted therapy (e.g., sorafenib or lenvatinib), or anti-PD-1 or anti-PD-L1 regimens?"", ""Do you have at least one measurable site of disease according to RECIST criteria by spiral CT scan or MRI?"", ""What is your Performance Status (PS) on the ECOG scale?"", ""Do you have a life expectancy of at least 12 weeks?"", ""Do you have adequate blood count, liver enzymes, and renal function? (Please provide values for: absolute neutrophil count, platelets, total bilirubin, SGOT, SGPT, INR, albumin, and serum creatinine or creatinine clearance)"", ""If you are a female with reproductive potential, have you had a negative pregnancy test within 7 days prior to the start of the trial?"", ""Are you willing and able to comply with the protocol, including treatment, contraceptive measures, scheduled visits, and examinations?""]"
NCT05853094,Postoperative Effects of Different Enterostomy Approaches,"

1. Pathological confirmed adenocarcinoma of the rectum;
2. Patients age between 18-80;
3. Baseline AJCC stage I-III: cT1-4N0-2M0 (AJCC-8 version);
4. Eastern Cooperative Oncology Group (ECOG) physical status score of 0 to 2;
5. Patients voluntarily sign informed consent.

","[""Has your rectum cancer been pathologically confirmed as adenocarcinoma?"", ""What is your age?"", ""Is your cancer at a baseline AJCC stage I-III (cT1-4N0-2M0, AJCC-8 version)?"", ""What is your Eastern Cooperative Oncology Group (ECOG) physical status score?"", ""Have you voluntarily signed the informed consent?""]"
NCT05609591,Three Dietary Regimens in Pre-colonoscopic Bowel Preparation in Children,"

1. Age 2 years～18 years old
2. Children under anesthesia for elective colonoscopy with bowel preparation

","
```json
[
  {
    ""question"": ""How old is the child?"",
    ""type"": 1,
    ""option"": []
  },
  {
    ""question"": ""Will the child be under anesthesia for the colonoscopy?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Is the child undergoing an elective colonoscopy?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  },
  {
    ""question"": ""Has the child undergone bowel preparation for the colonoscopy?"",
    ""type"": 2,
    ""option"": [""Yes"", ""No""]
  }
]
```"
NCT05670691,a Study of Combined mpMRI and PSMA PET/CT for Highly Suspicious Patients Performing Radical Prostatectomy Without Biopsy,"

1. age ≥ 18 years.
2. consent and ability to complete a multiparametric MRI of the prostate.
3. consent and ability to complete PSMA PET/CT.
4. multiparametric MRI of the prostate with a PI-RADS score of 4 or 5 for suspicious lesions.
5. Positive PSMA PET/CT. Its positive is defined as a suspicious lesion score of 2 or 3 (see remarks for specific scoring criteria).
6. good physical condition with an ECOG score of 0 or 1.
7. no history of radiotherapy or other surgery to the pelvis
8. the presence of pelvic lymph node enlargement (\>2 cm) or metastasis is allowed; ≤5 bone and lymph node metastases are allowed
9. the patient has good cardiac, pulmonary, hepatic and renal function and is able to tolerate local treatment (surgery or external radiotherapy) of the primary site and metastases, and the treatment will not cause serious complications for the patient.
10. the patient participates voluntarily and has signed an informed consent form
11. the patient is able to receive treatment and subsequent follow-up
12. the expected survival time is greater than 1 year.

","[""Are you 18 years of age or older?"", ""Can you provide consent and complete a multiparametric MRI of the prostate?"", ""Can you provide consent and complete PSMA PET/CT?"", ""What is your PI-RADS score for the multiparametric MRI of the prostate?"", ""Is your PSMA PET/CT result positive, with a suspicious lesion score of 2 or 3?"", ""What is your ECOG score, indicating your physical condition?"", ""Have you ever undergone radiotherapy or surgery to the pelvis?"", ""Do you have pelvic lymph node enlargement (>2 cm) or metastasis?"", ""How many bone and lymph node metastases do you have, if any?"", ""Do you have good cardiac, pulmonary, hepatic and renal function?"", ""Are you able to tolerate local treatment (surgery or external radiotherapy) for the primary site and metastases?"", ""Have you voluntarily agreed to participate and signed the informed consent form?"", ""Are you able to receive treatment and subsequent follow-up?"", ""Is your expected survival time greater than 1 year?""]"
NCT06039631,Neoadjuvant Chemoimmunotherapy Followed By Radiation Or Organ Preservation Surgery In Laryngeal/Hypopharyngeal Cancer,"

1. Signing of the informed consent form and willingness to comply with the study protocol.
2. Age ≥18 and ≤75 years.
3. Histologically confirmed laryngeal or hypopharyngeal squamous cell carcinoma.
4. Locally advanced laryngeal/hypopharyngeal cancer patients eligible for surgical resection (AJCC 8th edition stage: T2N+M0, T3-T4aN0-3M0).
5. Presence of at least one measurable lesion before treatment, in accordance with RECIST 1.1 criteria for ""measurable lesions.""
6. Patients who have received neoadjuvant immunotherapy combined with chemotherapy and have achieved a partial response (PR) in the primary lesion according to RECIST 1.1 criteria and are suitable candidates for organ preservation surgery.
7. Expected survival of more than 3 months.
8. Eastern Cooperative Oncology Group (ECOG) performance status score of 0-1.
9. Good organ function, meeting the following criteria:

   1. Absolute neutrophil count (ANC) ≥1.5×10\^9/L.
   2. Platelet count ≥100×10\^9/L.
   3. Hemoglobin ≥9 g/dL.
   4. Serum albumin ≥2.8 g/dL.
   5. Total bilirubin ≤1.5× upper limit of normal (ULN), ALT, AST, and/or ALP ≤3× ULN.
   6. Serum creatinine ≤1.5× ULN and creatinine clearance ≥60 mL/min (Cockcroft-Gault formula, see Appendix III).
   7. Activated partial thromboplastin time (APTT) and international normalized ratio (INR) ≤1.5× ULN (patients on stable doses of anticoagulation with agents like low molecular weight heparin or warfarin, and INR within the expected therapeutic range, may be included).
10. Patients with hepatitis B virus (HBV) infection, inactive/asymptomatic HBV carriers, or patients with chronic or active HBV infection with HBV DNA \<500 IU/mL (or 2500 copies/mL) at screening will be allowed to participate. Patients positive for hepatitis C antibodies, if HCV-RNA is negative at screening, will be allowed to participate.
11. Females of childbearing potential must have a negative pregnancy test result in urine or serum ≤7 days before treatment initiation. They must use a medically accepted contraceptive measure (such as intrauterine device, oral contraceptives, or condoms) during the study treatment period, for at least 3 months after the last dose of toripalimab, and for at least 6 months after the last dose of chemotherapy.
12. Non-sterilized male participants must be willing to use a medically accepted contraceptive measure (such as intrauterine device, oral contraceptives, or condoms) during the study treatment period, for at least 3 months after the last dose of toripalimab, and for at least 6 months after the last dose of chemotherapy.

","[""Have you signed the informed consent form and are you willing to comply with the study protocol?"", ""What is your age?"", ""Have you been diagnosed with histologically confirmed laryngeal or hypopharyngeal squamous cell carcinoma?"", ""Is your laryngeal/hypopharyngeal cancer locally advanced and eligible for surgical resection (AJCC 8th edition stage: T2N+M0, T3-T4aN0-3M0)?"", ""Do you have at least one measurable lesion before treatment, according to RECIST 1.1 criteria?"", ""Have you received neoadjuvant immunotherapy combined with chemotherapy and achieved a partial response (PR) in the primary lesion?"", ""Do you have an expected survival of more than 3 months?"", ""What is your Eastern Cooperative Oncology Group (ECOG) performance status score?"", ""Does your organ function meet the criteria (ANC \u22651.5\u00d710\\^9/L, platelet count \u2265100\u00d710\\^9/L, hemoglobin \u22659 g/dL, etc.)?"", ""Do you have hepatitis B virus (HBV) infection, and if so, is your HBV DNA level \\<500 IU/mL?"", ""If you are a female of childbearing potential, have you had a negative pregnancy test result within the last 7 days?"", ""If you are a female of childbearing potential, are you using a medically accepted contraceptive measure?"", ""If you are a non-sterilized male participant, are you willing to use a medically accepted contraceptive measure?""]"
NCT04612894,Camrelizumab and Apatinib for Neoadjuvant Therapy in Thyroid Cancer,"

* The patient volunteered to participate in the study and signed an informed consent form;
* Pathologically diagnosed locally advanced thyroid cancer, including papillary thyroid cancer, medullary cancer, follicular cancer, poorly differentiated cancer, etc., require surgical resection with or without distant metastasis;
* Preoperative assessment of locally advanced thyroid cancer (unable to achieve R0/1 resection or T4 disease);
* Have at least one measurable lesion (RECIST 1.1);
* Age\>=14 years, Eastern Cooperative Oncology Group (ECOG) score 0-1;
* Patient agree to receive surgery/ core needle biopsy before and after neoadjuvant treatment.
* The main organ functions meet the criteria before treatment.

","[""Have you voluntarily agreed to participate in the study and signed an informed consent form?"", ""Has your thyroid cancer been pathologically diagnosed as locally advanced, including which type of thyroid cancer?"", ""Is your locally advanced thyroid cancer requiring surgical resection with or without distant metastasis?"", ""Do you have at least one measurable lesion according to RECIST 1.1 criteria?"", ""Are you aged 14 years or older with an ECOG score of 0-1?"", ""Are you willing to undergo surgery/core needle biopsy before and after neoadjuvant treatment?"", ""Does your pre-treatment main organ function meet the required criteria?""]"
NCT05863260,Tislelizumab Combing Chemoradiotherapy in Recurrent Cervical Cancer,"

1. For patients with recurrent or metastatic cervical cancer after initial standard treatment (including radical surgery or radical radiotherapy), the lesions are located out of the field of previous radiotherapy, with no more than 5 recurrent or metastatic foci, and the radiotherapy is feasible according to the evaluation of radiotherapy physician; and at least 1 lesion (without previous radiotherapy) meets the target lesion standard of RECIST 1.1;
2. Cervical adenocarcinoma, squamous cell carcinoma or adenosquamous cell carcinoma confirmed by previous histology;
3. Surgical resection is not recommended for recurrent lesions, or patients choose not to accept surgery voluntarily;
4. The researchers evaluated the suitability of radiotherapy
5. ECoG 0-1; life expectancy \> 6 months;
6. Aged 18-70 years;
7. No serious allergic history;
8. Hemoglobin \> 100 g / L, WBC \> 3.5 \* 10 \^ 9 / L, neutrophils \> 1.5 \* 10 \^ 9 / L, platelets \> 100 \* 10 \^ 9 / L, Cr \< 1.5 \* normal upper limit, TB \< 2.5 \* normal upper limit, AST and Al \< 2.5 \* normal upper limit, AKP \< 2.5 \* normal upper limit;
9. Ability to sign informed consent.

","[""Have you experienced recurrent or metastatic cervical cancer after initial standard treatment (including radical surgery or radical radiotherapy)?"", ""Are the current lesions located outside the field of previous radiotherapy and is there no more than 5 recurrent or metastatic foci?"", ""Has a radiotherapy physician evaluated radiotherapy as feasible for you?"", ""Do you have at least one lesion (without previous radiotherapy) that meets the target lesion criteria of RECIST 1.1?"", ""What type of cervical cancer have you been diagnosed with (adenocarcinoma, squamous cell carcinoma, or adenosquamous cell carcinoma)?"", ""Is surgical resection recommended for your recurrent lesions, or have you chosen not to undergo surgery?"", ""Has the researcher evaluated your suitability for radiotherapy?"", ""What is your Eastern Cooperative Oncology Group (ECoG) status (0-1)?"", ""Do you have a life expectancy of more than 6 months?"", ""What is your age (18-70 years)?"", ""Do you have a history of serious allergies?"", ""Please provide your hemoglobin level (it should be > 100 g/L)?"", ""Please provide your white blood cell count (it should be > 3.5 * 10^9/L)?"", ""Please provide your neutrophil count (it should be > 1.5 * 10^9/L)?"", ""Please provide your platelet count (it should be > 100 * 10^9/L)?"", ""What is your creatinine (Cr) level (it should be < 1.5 * normal upper limit)?"", ""What is your total bilirubin (TB) level (it should be < 2.5 * normal upper limit)?"", ""What are your AST and ALT levels (they should be < 2.5 * normal upper limit)?"", ""What is your alkaline phosphatase (AKP) level (it should be < 2.5 * normal upper limit)?"", ""Do you have the ability to sign informed consent?""]"
NCT06128460,Adjuvant Chemoradiotherapy Followed by Zimberelimab for Locally Advanced Cervical Cancer.,"

* Histologically confirmed cervical squamous cell carcinoma, cervical adenocarcinoma, or cervical adenosquamous carcinoma;
* According to FIGO2018 staging, patients with locally advanced cervical cancer (IB3, IIA2) who require concurrent radiotherapy and chemotherapy;
* Patients with radical surgery for cervical cancer;
* Female patients: 18-70 years old;
* ECOG physical condition score: 0\~1 point;
* Subjects have not received previous immunotherapy;
* Expected survival ≥6 months;
* Women of reproductive age should agree to use contraceptives (such as Iuds, contraceptives, or condoms) during the study period and for 6 months after the study ends; Have a negative serum or urine pregnancy test within 7 days prior to study enrollment and must be a non-lactating patient;
* For adequate organ function as defined in the protocol, test samples must be collected within 7 days prior to initiation of the study therapy
* Subjects voluntarily joined the study, signed informed consent, had good compliance, and cooperated with follow-up.

","[""Is your cervical cancer confirmed histologically as squamous cell carcinoma, adenocarcinoma, or adenosquamous carcinoma?"", ""Are you classified as having locally advanced cervical cancer (IB3, IIA2) according to FIGO 2018 staging, requiring concurrent radiotherapy and chemotherapy?"", ""Have you undergone radical surgery for your cervical cancer?"", ""What is your age? Are you between 18-70 years old?"", ""What is your ECOG physical condition score? Is it 0 to 1 point?"", ""Have you previously received immunotherapy?"", ""Do you have an expected survival of at least 6 months?"", ""If you are of reproductive age, have you agreed to use contraceptives during the study period and for 6 months after the study ends?"", ""Did you have a negative serum or urine pregnancy test within 7 days prior to study enrollment?"", ""Are you a non-lactating patient?"", ""Was adequate organ function tested and confirmed within 7 days prior to the initiation of the study therapy?"", ""Did you volunteer to join the study, sign the informed consent, and commit to good compliance and cooperation with follow-up?""]"
NCT04448873,Guided Discontinuation Versus Maintenance Treatment of Sirolimus in Pediatric Patients With Kaposiform Hemangioendothelioma,"

* Participant diagnosed with KHE with or without KMP
* Participant age 0-12 years
* Participant with detailed medical records of the disease at the time of screening
* Participant with at least two years of remission of KHE and no previous toxicity or adverse events
* Participant with normal liver and kidney function
* Participant with signed and dated informed consent from the guardian(s)

","[""Have you been diagnosed with KHE, with or without KMP?"", ""What is the age of the participant?"", ""Do you have detailed medical records of the disease at the time of screening?"", ""How long has the participant been in remission from KHE?"", ""Have there been any previous instances of toxicity or adverse events related to KHE?"", ""Do you have normal liver and kidney function?"", ""Has the guardian(s) signed and dated the informed consent?""]"
NCT06335927,HAIC Combined With Cadonilimab and Regorafenib as 2nd-line Treatment for ICC,"

To be eligible for enrollment in the study, participants must meet the following inclusion criteria:

1. Voluntarily provide written informed consent.
2. Age at enrollment is ≥18 years and ≤75 years, both males and females.
3. Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1.
4. Expected survival period of ≥3 months.
5. Patients with histologically or cytologically confirmed unresectable intrahepatic cholangiocarcinoma. Patients who have failed standard treatment (standard treatment includes gemcitabine plus cisplatin plus pembrolizumab, gemcitabine plus gemcitabine plus oxaliplatin, capecitabine plus oxaliplatin, chemotherapy mainly based on albumin-bound paclitaxel, 5-fluorouracil (5-FU) plus platinum-based therapy) or are intolerant to standard treatment, or patients for whom standard treatment is not accessible. Note: Patients who have received adjuvant/neoadjuvant chemotherapy targeting non-metastatic disease with curative intent and experience disease progression within ≤6 months after the last treatment are eligible.
6. At least one measurable lesion according to RECIST v1.1 that can be accurately measured repeatedly. Note: Brain metastases cannot be considered as target lesions.
7. Adequate organ function determined by the following requirements:

   1. Hematology (no use of any blood components or growth factors within 7 days prior to starting the study treatment): i. Absolute Neutrophil Count (ANC) ≥ 1.5 × 109/L (1,500/mm3). ii. Platelet count ≥ 80 × 109/L (100,000/mm3). iii. Hemoglobin ≥ 90 g/L.
   2. Kidney:

   i. Serum creatinine ≤ 1.5 × Upper Limit of Normal (ULN). ii. Calculated creatinine clearance\* (CrCl) ≥ 50 mL/min.

   \* CrCl will be calculated using the Cockcroft-Gault formula (Cockcroft-Gault formula).

   CrCl (mL/min) = {(140 - age) × body weight (kg) × F} / (SCr (mg/dL) × 72) For males, F = 1; for females, F = 0.85; SCr = serum creatinine. iii. Urine protein ≤ 1+ or 24-hour urinary protein quantification \< 1.0 g. c) Liver: i. Total bilirubin (TBil) ≤ 3 × ULN. ii. AST and ALT ≤ 5 × ULN. iii. Serum albumin (ALB) ≥ 28 g/L. d) Coagulation function: i. International Normalized Ratio (INR) and Activated Partial Thromboplastin Time (APTT) ≤ 1.5 × ULN (unless the subject is receiving anticoagulant therapy and coagulation parameters \[PT/INR and APTT\] are within the expected range for anticoagulant treatment at screening).

   e) Cardiac function: i. Left Ventricular Ejection Fraction (LVEF) ≥ 50%.
8. Female participants of childbearing potential must undergo urine or serum pregnancy testing within 3 days prior to the first dose of study medication (if the urine pregnancy test results cannot be confirmed as negative, a serum pregnancy test must be conducted, with the serum pregnancy test result being definitive). If female participants of childbearing potential engage in sexual activity with a nonsterilized male partner, they must use an acceptablemethod of contraception from the start of screening and agree to continue using contraception for up to 120 days after the last dose of the study medication. The decision to stop contraception after this time should be discussed with the investigator.
9. Male participants with a female partner of childbearing potential must use effective contraception from the start of screening until 120 days after the last dose of the study medication. The decision to stop contraception after this time should be discussed with the investigator.
10. Participants must be willing and able to comply with the scheduled visits, treatment plan, laboratory tests, and other study requirements.

","[""Have you provided written informed consent to participate in the study?"", ""What is your age?"", ""Is your Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1?"", ""Do you have an expected survival period of at least 3 months?"", ""Have you been diagnosed with unresectable intrahepatic cholangiocarcinoma?"", ""Have you failed standard treatment or are intolerant to it, or is it not accessible to you?"", ""Do you have at least one measurable lesion according to RECIST v1.1?"", ""Does your hematology meet the following criteria: ANC \u2265 1.5 \u00d7 10^9/L, platelet count \u2265 80 \u00d7 10^9/L, hemoglobin \u2265 90 g/L?"", ""Is your serum creatinine \u2264 1.5 \u00d7 ULN and CrCl \u2265 50 mL/min?"", ""Is your total bilirubin (TBil) \u2264 3 \u00d7 ULN, AST and ALT \u2264 5 \u00d7 ULN, and serum albumin (ALB) \u2265 28 g/L?"", ""Do you have normal coagulation function (INR and APTT \u2264 1.5 \u00d7 ULN)?"", ""Is your Left Ventricular Ejection Fraction (LVEF) \u2265 50%?"", ""If you are a female of childbearing potential, have you undergone pregnancy testing within 3 days prior to the first dose?"", ""If you are a female of childbearing potential, are you using an acceptable method of contraception?"", ""If you are a male with a female partner of childbearing potential, are you using effective contraception?"", ""Are you willing and able to comply with the study's requirements?""]"
NCT05530473,Combined Capsular Tension Ring and IOL Implantation for Management of Cataracts,"

-cataract

","[""Do you have a diagnosis of cataract?"", ""Please describe your cataract condition.""]"
NCT04855331,Laparoscopic Versus Open Pancreatoduodenectomy Following Neoadjuvant Chemotherapy for BRPC,"

* Before neoadjuvant chemotherapy, pancreatic ductal adenocarcinoma was confirmed by pathology;
* According to the guidelines, neoadjuvant chemotherapy should be performed before surgery, including patients with resectable pancreatic cancer (RPC) with high risk factors (biologically borderline resectable), anatomically borderline resectable pancreatic cancer (BRPC) with good physical condition;
* Receive at least 2 cycles of neoadjuvant chemotherapy before radical surgery；
* After neoadjuvant chemotherapy, the patient can be further treated by laparoscopic or open surgery;
* No obvious surgical contraindications, suitable for minimally invasive surgery;
* ECOG score of preoperative physical condition was 0-1;
* No history of preoperative pancreatitis;
* Preoperative PET-CT or other imaging examination did not show distant metastasis;
* The expected postoperative survival time was more than 3 months;
* Be able to comply with research protocol, follow-up plan and other protocol requirements;
* Voluntary participation and signed informed consent.

","[""Has pancreatic ductal adenocarcinoma been confirmed by pathology before neoadjuvant chemotherapy?"", ""Are you recommended to have neoadjuvant chemotherapy before surgery according to the guidelines?"", ""How many cycles of neoadjuvant chemotherapy have you received before radical surgery?"", ""Are you eligible for further treatment by either laparoscopic or open surgery after neoadjuvant chemotherapy?"", ""Do you have any obvious surgical contraindications that would prevent you from undergoing minimally invasive surgery?"", ""What is your ECOG score for preoperative physical condition?"", ""Have you had a history of preoperative pancreatitis?"", ""Have you had a PET-CT or other imaging examination that showed no distant metastasis before surgery?"", ""Is your expected postoperative survival time more than 3 months?"", ""Can you comply with the research protocol, follow-up plan, and other protocol requirements?"", ""Have you voluntarily participated and signed the informed consent?""]"
NCT05408676,Comparison of Dexamethasone Alone vs in Combination With Pericardium 6 (P6) Electrical Stimulation or Granisetron in the Prevention of Postoperative Nausea and Vomiting in Patients Undergoing Breast Cancer Surgery,"

* women undergoing breast cancer resection under general anesthesia
* aged between 18 to 65
* American Society of Anesthesiologists grade I-II

","[""Are you a woman undergoing breast cancer resection?"", ""Will your breast cancer resection be performed under general anesthesia?"", ""What is your age?"", ""Are you between the ages of 18 to 65?"", ""What is your American Society of Anesthesiologists (ASA) grade?"", ""Is your ASA grade I or II?""]"
NCT04536194,Dopamine Versus Norepinephrine Under General Anesthesia,"

* undertake cardiac surgery for congenital heart disease

","[""Are you scheduled to undergo cardiac surgery for congenital heart disease?"", ""Please fill in the type of congenital heart disease for which you will have surgery:""]"
NCT04625894,The Combination of Immunotherapy and Stereotactic Ablative Radiotherapy in Oligometastatic Gastrointestinal Cancer,"

1. Aged 18-70 years old, regardless of gender;
2. Fully informed and willing to provide written informed consent for the trial;
3. ECOG performance status 0-1;
4. Expected survival time ≥ 6 months;
5. Has gastric carcinoma /colorectal carcinoma / hepatocellular carcinoma, confirmed by histopathology (or pathology consultation in our hospital) and measurable oligometastatic lesions on imaging (RECIST version 1.1); pathological diagnosis confirmation of oligometastatic lesions using biopsy tissue samples (e.g. obtained by hollow core needle, biopsy, excision, etc.) is recommended but not required;
6. Has undergone curative treatment on the primary lesion at least three months ago, without local progression;
7. Has received standard treatment prior to enrolment, except for any type of immunotherapy;
8. Has no more than three metastatic lesions detected on imaging in single organ (e.g. lung, liver, brain, bone, etc.), and the total number of metastases is no more than five;
9. Multiple sites of lesions can be safely treated by SABR; and the maximum diameter of each lesion for irradiation is no more than 5cm.
10. Contraindicated for surgery or the participant refuses to receive surgery.
11. Has adequate organ function to tolerate the regimen:
12. Bone marrow function: neutrophils ≥ 1.5 × 109/L, platelets ≥ 100 × 109/L, hemoglobin ≥ 90 g/L;
13. Liver and kidney function: serum creatinine ≤ 1.5 times the upper limit of normal; AST and ALT ≤ 2.5 times the upper limit of normal or the presence of liver metastasis ≤ 5 times the upper limit of normal; total bilirubin ≤ 1.5 times the upper limit of normal, or patients with Gilbert's syndrome ≤ 2.5 times the upper limit of normal;
14. Subject is willing and able to comply with the protocol for the duration of the study including undergoing treatment and scheduled visits and examinations including follow up
15. Non-lactating patients.

","[""Are you between the ages of 18 and 70, regardless of gender?"", ""Are you fully informed and willing to provide written informed consent for the trial?"", ""What is your ECOG performance status? (Please select 0 or 1)"", ""Is your expected survival time greater than or equal to 6 months?"", ""Do you have gastric carcinoma, colorectal carcinoma, or hepatocellular carcinoma, confirmed by histopathology, with measurable oligometastatic lesions?"", ""How many months ago did you undergo curative treatment on the primary lesion?"", ""Have you received standard treatment prior to enrolment, excluding any type of immunotherapy?"", ""How many metastatic lesions are detected in a single organ on imaging?"", ""Is the total number of your metastases no more than five?"", ""Can multiple sites of lesions be safely treated by SABR?"", ""What is the maximum diameter of each lesion for irradiation?"", ""Are you contraindicated for surgery or do you refuse to receive surgery?"", ""Do you have adequate organ function to tolerate the treatment regimen?"", ""What are your neutrophil counts?"", ""What are your platelet counts?"", ""What is your hemoglobin level?"", ""Is your serum creatinine within the normal range?"", ""Are your AST and ALT levels within the normal range, considering the presence of liver metastasis if applicable?"", ""Is your total bilirubin within the normal range, or do you have Gilbert's syndrome?"", ""Are you willing and able to comply with the study protocol, including treatment and scheduled visits and examinations?"", ""Are you a non-lactating patient?""]"
