nct_id,study_title,inclusion_criteria,inclusion_criteria_questions
NCT05516472,"Fecal Microbiota Transplantation (FMT CAPSULE DE, FMPCapDE, MTP-CP101) in Kidney Stone Patients (FMT IND STUDY)","1、Women and men age >18 and <70
2、Recent medical history of USD with >60% calcium-oxalate stones. All patients will have urinary stone disease confirmed by stone analysis. The study will include patients with either stones extracted by urological intervention or spontaneously passed and collected stones. We will enroll recurrent urinary stone formers who have had a stone event in the preceding 24 months, but no sooner than within 4 weeks if they did not receive antibiotics and not after three months if they did receive antibiotics.
3、24-hour urinary calcium concentration >225 mg/day or urinary oxalate >40 mg/day
4、Able to give informed consent.
5、Willing to undergo telephone follow-up to assess for safety and adverse events
6、Willing and able to participate in the study requirements, including study visits, 24-hour urine collection and serial stool collection
7、Not actively participating in another interventional USD clinical trial
8、Estimated Glomerular Filtration Rate (eGFR) greater than or equal to 60.","[""Are you between 18 and 70 years old?"", ""Have you had a recent medical history of USD with >60% calcium-oxalate stones confirmed by stone analysis?"", ""Have you had urinary stones extracted by urological intervention or spontaneously passed and collected stones?"", ""Have you had a stone event in the preceding 24 months?"", ""If yes, did you receive antibiotics within 4 weeks of the stone event? (Fill in the blank)"", ""If no, did you receive antibiotics after three months of the stone event? (Fill in the blank)"", ""Is your 24-hour urinary calcium concentration greater than 225 mg/day?"", ""Is your urinary oxalate concentration greater than 40 mg/day?"", ""Are you able to give informed consent?"", ""Are you willing to undergo telephone follow-up to assess for safety and adverse events?"", ""Are you willing and able to participate in the study requirements, including study visits, 24-hour urine collection, and serial stool collection?"", ""Are you actively participating in another interventional USD clinical trial?"", ""Is your Estimated Glomerular Filtration Rate (eGFR) greater than or equal to 60?""]"
NCT05057910,Evaluation of SARS-CoV-2 RBD Antibody in Vaccinated Healthcare Workers at My Duc Hospital: a Cross-sectional Study,"1、Above 18 years old
2、Being vaccinated with at least one dose of ChAdOx1 nCoV-19
3、Accepted to take part in the study","[""Are you above 18 years old?"", ""Have you been vaccinated with at least one dose of ChAdOx1 nCoV-19?"", ""Have you accepted to take part in the study?"", ""What is your age?""]"
NCT04187482,Functional and Cellular Benefits of Aerobic Exercise in Myotonic Dystrophy Type 1 Patients,"1、DM1 participants:
2、Male or female clinically diagnosed with DM1
3、CTG repeats 100-1000
4、Normal weight (BMI 18.5 - 24.9 kg/m2) or overweight (BMI 25 - 29.9 kg/m2)
5、Age matched controls:
6、Healthy men and women
7、Normal weight (BMI 18.5 - 24.9 kg/m2) or overweight (BMI 25 - 29.9 kg/m2)
8、Physically inactive (< 1-2 hour of formal exercise/week)","[""Are you clinically diagnosed with DM1?"", ""What is your CTG repeats count? (Fill in the blank)"", ""Are you within the normal weight range (BMI 18.5 - 24.9 kg/m2) or overweight (BMI 25 - 29.9 kg/m2)?"", ""Are you 60 years or more at the time of enrollment?"", ""Are you diagnosed with acute leukemia?"", ""Do you fall within the BMI range of 18.5 - 24.9 kg/m2 or 25 - 29.9 kg/m2?"", ""Are you physically inactive (engaging in < 1-2 hours of formal exercise per week)?"", ""Have you been diagnosed with myelodysplastic syndrome?"", ""Have you been diagnosed with myeloproliferative neoplasm?""]"
NCT05897346,Learning While Serving: Training Secondary School Students as Anti-smoke Ambassadors Using the Service-learning Model,1、secondary school students (Forms 2-4),"[""Are you a secondary school student?"", ""What grade are you currently in? (Fill in the blank)""]"
NCT04037462,Induction of Sensecence Using Dexamethasone to Re-sensitize NSCLC to Anti-PD1 Therapy,"1、Be willing and able to provide written informed consent/assent for the trial.
2、Be 18 years of age on day of signing informed consent.
3、Have a life expectancy of at least 6 months.
4、Have a histologically confirmed diagnosis of stage IV NSCLC (includes patients who have progressed on durvalumab for Stage III NSCLC) and have at least one measurable lesion based on RECIST v1.1.
5、Have a performance status of 0, 1 or 2 on the ECOG Performance Scale (Appendix 15.1).
6、Demonstrate adequate organ function all screening labs should be performed within 14 days of enrollment.
7、Female subject of childbearing potential should have a serum pregnancy within 14 days of enrollment and 72 hours prior to receiving the first dose of study medications.
8、Female subjects of childbearing potential must be willing to use a highly effective method of contraception as outlined in Section 6.3.3 for the course of the study through 180 days after the last dose of study medications.
9、Note: Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject.
10、Male subjects of childbearing potential must agree to use an adequate method of contraception starting with the first dose of study therapy through 180 days after the last dose of study therapy.
10、Note: Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject.
11、Adequate tissue sample for correlative studies. A new sample is not necessary if archival specimen is available and has adequate amount of tumor content (at least 30%). This needs to be determined by a pathologist.","[""Are you willing and able to provide written informed consent/assent for the trial?"", ""What is your age on the day of signing informed consent? (Fill in the blank)"", ""What is your life expectancy? (Fill in the blank)"", ""Do you have a histologically confirmed diagnosis of stage IV NSCLC?"", ""Do you have at least one measurable lesion based on RECIST v1.1?"", ""What is your performance status on the ECOG Performance Scale? (Choose one)"", ""Have all screening labs been performed within 14 days of enrollment?"", ""Are you a female subject of childbearing potential?"", ""What is the result of your serum pregnancy test within 14 days of enrollment? (Fill in the blank)"", ""Are you willing to use a highly effective method of contraception for the course of the study through 180 days after the last dose of study medications? (Choose one)"", ""Is abstinence your usual lifestyle and preferred contraception method? (Choose one)"", ""Are you a male subject of childbearing potential?"", ""Are you willing to use an adequate method of contraception for the course of the study through 180 days after the last dose of study therapy? (Choose one)"", ""Is abstinence your usual lifestyle and preferred contraception method? (Choose one)"", ""Do you have an adequate tissue sample for correlative studies?"", ""If an archival specimen is available, does it have an adequate amount of tumor content (at least 30%)? (Choose one)""]"
NCT05536739,Powered Hip Exoskeleton for Stroke Survivors With Gait Impairment,"1、Previous history of stroke with a physician's approval to safely perform the experimental activities.
2、The stroke must have occurred at least 6 months prior to study involvement.
3、Aged between 18-85 years of age.
4、Score greater than 17 on the mini-mental state examination (MMSE).
5、Able to sit unsupported for minimum of 30 seconds.
6、Able to follow a 3 step command.
7、Must be able to walk without support (a rail as needed is allowed), with a walking speed of at least 0.4 m/s (limited community ambulatory speed).
8、Must be able to walk for at least 6 minutes.
9、Must be willing and able to participate in a 1-4 hour experiment, with breaks enforced regularly and as needed .
10、Must be able to transfer (sit-to-stand and stand-to-sit) with no external support (arm rests support allowed).
11、Must be able to ambulate over small slopes (3 degrees) and a few steps (6 steps).","[""Do you have a previous history of stroke with a physician's approval to safely perform the experimental activities?"", ""When did your stroke occur? (Fill in the blank)"", ""Are you between 18 and 85 years of age?"", ""What is your score on the mini-mental state examination (MMSE)? (Fill in the blank)"", ""Can you sit unsupported for a minimum of 30 seconds?"", ""Can you follow a 3-step command?"", ""Are you able to walk without support (a rail as needed is allowed) with a walking speed of at least 0.4 m/s (limited community ambulatory speed)?"", ""How many minutes can you walk continuously? (Fill in the blank)"", ""Are you willing and able to participate in a 1-4 hour experiment, with breaks enforced regularly and as needed?"", ""Can you transfer (sit-to-stand and stand-to-sit) with no external support (arm rests support allowed)?"", ""Can you ambulate over small slopes (3 degrees) and a few steps (6 steps)?""]"
NCT04855994,"Comparison of the Results of Ultrasound-Guided Thoracic Paravertebral Block and Modified Pectoral Nerve Block for Postoperative Analgesia in Video-Assisted Thoracoscopic Surgery; A Prospective, Randomized Controlled Study","1、Ages of 18-65
2、Patients who will undergo VATS
3、ASA I-II-III patients","[""Are you between 18 and 65 years old?"", ""Will you undergo VATS (Video-Assisted Thoracic Surgery)?"", ""What is your ASA (American Society of Anesthesiologists) classification? (Fill in the blank)"", ""Have you been diagnosed with ASA I, II, or III?""]"
NCT05052294,COVID-19 Antibody Responses In Cystic Fibrosis: CAR-CF,"1、Consenting people with cystic fibrosis of any age, genotype, transplant status and disease severity","[""Do you have cystic fibrosis?"", ""What is your age?"", ""What is your genotype?"", ""Have you undergone transplantation?"", ""What is the severity of your disease?""]"
NCT05508217,Impact of Telomere Biology and Sperm DNA Fragmentation on Embryonic Development,"1、Men of any age who come to IVI Madrid in the context of a couple's infertility study and who present normozoospermia or semenograms with sperm count >10mill/ml, >25% progressive motility and > 1% normal morphology.","[""Are you a man participating in a couple's infertility study at IVI Madrid?"", ""Do you have normozoospermia?"", ""What is your sperm count per milliliter? (Fill in the blank)"", ""What is the percentage of your progressive motility? (Fill in the blank)"", ""What is the percentage of your normal sperm morphology? (Fill in the blank)""]"
NCT03886727,Clinical Retention of Bonded Resin Sealants Placed With Rubber Dam Versus Cotton Roll Isolation,"1、Teeth having a clinical indication of sealing with bonded resin pit and fissure sealants
2、Patients with four fully-erupted permanent molars, with unstained, caries-free and unsealed pit and fissures","[""Do you have teeth with a clinical indication of sealing with bonded resin pit and fissure sealants?"", ""How many fully-erupted permanent molars do you have?"", ""Are your permanent molars unstained, caries-free, and unsealed in the pit and fissures?"", ""Do you currently have any sealed pit and fissures on your teeth?""]"
NCT05691413,"The Safety and Efficacy of Facial Cleanser Containing Combination of Olive Oil, Virgin Coconut Oil, Butylene Glycol and Hyaluronic Acid on Skin Hydration and Skin Elasticity","1、Malaysia citizen
2、Male and female (age 35-55 years old)","[""Are you a citizen of Malaysia?"", ""What is your gender?"", ""What is your age? (Please provide in years)""]"
NCT05041855,Family Inclusive Childhood Obesity Treatment Designed for Low Income and Hispanic Families,"1、Child aged 2-16yrs
2、With overweight or obesity (BMI >85th percentile)
3、Referred by PCP
4、Primary Adult Caregiver
5、Up to two siblings of any BMI status (if multiple siblings are available, enrollment goals stratified by age and BMI will be used to select siblings for enrollment.)","[""What is the age of the child?"", ""Does the child have overweight or obesity? (BMI >85th percentile)"", ""Were you referred by your Primary Care Physician (PCP)?"", ""Are you the primary adult caregiver?"", ""How many siblings do you have, and what is their BMI status? (Fill in the blank)""]"
NCT04022915,PET Fibrin Imaging of DVT and PE,"1、18 years of age or older with a clinically significant pulmonary embolus (PE) confirmed by a filling defect in CT angiography (CTA), and
2、Subjects must receive the radiotracer injection within 72 hours of their diagnosis.","[""Are you 18 years of age or older?"", ""Have you been diagnosed with a clinically significant pulmonary embolus (PE) confirmed by a filling defect in CT angiography (CTA)?"", ""When were you diagnosed with a pulmonary embolus (PE)? (Fill in the blank)"", ""Will you receive the radiotracer injection within 72 hours of your diagnosis?""]"
NCT05499936,Peking Union Medical College Hospital,"1、patients with ACC suspected metastatic tumor,and being able to provide basic information and sign the written informed consent form","[""Do you suspect having a metastatic tumor with ACC?"", ""Are you able to provide basic information?"", ""Are you willing to sign the written informed consent form?"", ""What basic information can you provide? (Fill in the blank)""]"
NCT06137079,"""Iron Overload and Endocrinological Diseases""","1、Certain diagnosis of ?°?thalassemia major or intermedia
2、Certain diagnosis of Hereditary Hemochromatosis
3、Adult patients with an age between 18 and 65 years","[""Do you have a certain diagnosis of \u03b1-thalassemia major or intermedia?"", ""Do you have a certain diagnosis of Hereditary Hemochromatosis?"", ""Are you between 18 and 65 years old?"", ""What is the specific diagnosis you have for \u03b1-thalassemia (Fill in the blank)?"", ""What is the specific diagnosis you have for Hereditary Hemochromatosis (Fill in the blank)?""]"
NCT04660851,Improving Diet Protein Intake in Middle-aged Women,"1、able to understand and respond to questions or instructions in English
2、working telephone
3、willingness to consume protein-containing animal products,
4、willingness to make changes to the diet","[""Are you able to understand and respond to questions or instructions in English?"", ""Do you have a working telephone?"", ""Are you willing to consume protein-containing animal products?"", ""Are you willing to make changes to your diet?"", ""What specific changes are you willing to make to your diet? (Fill in the blank)""]"
NCT05836792,The Effect of Cycle Ergometer With Biofeedback on Deep Sensation in Elderly Patients With Knee Osteoarthritis,1、Knee osteoarthritis (Kellgren-Lawrance score between 1-3),"[""Do you have knee osteoarthritis?"", ""What is your Kellgren-Lawrance score? (Fill in the blank)""]"
NCT04881526,Ketone Ester Supplementation on Neuro-cardiovascular Responses to Stress in Humans,"1、18 to 40 years of age
2、Healthy, free of known cardiovascular, metabolic, or musculoskeletal disease","[""How old are you?"", ""Do you fall within the age range of 18 to 40 years?"", ""Are you currently free of known cardiovascular diseases?"", ""Are you currently free of known metabolic diseases?"", ""Do you have any known musculoskeletal diseases?"", ""If yes, please specify the musculoskeletal disease(s) you have. (Fill in the blank)""]"
